AstroVIEW X
Type, Original
 
Time, 06/15/2018 01:43:39 PM
Compression, 1
*Sample Rate 1, 1
Size, 6280
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
253, 06/15/2018 01:47:50 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
254, 06/15/2018 01:47:51 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
255, 06/15/2018 01:47:52 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
256, 06/15/2018 01:47:53 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
257, 06/15/2018 01:47:54 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
258, 06/15/2018 01:47:55 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
259, 06/15/2018 01:47:56 PM,0.0000             ,0.0167             ,0.0000             ,-2.9167            
260, 06/15/2018 01:47:57 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
261, 06/15/2018 01:47:58 PM,0.0000             ,-0.0167            ,0.0000             ,-2.9167            
262, 06/15/2018 01:47:59 PM,0.0000             ,0.0000             ,0.0000             ,-1.2500            
263, 06/15/2018 01:48:00 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
264, 06/15/2018 01:48:01 PM,0.0000             ,-0.0833            ,0.0000             ,-2.0833            
265, 06/15/2018 01:48:02 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
266, 06/15/2018 01:48:03 PM,0.0000             ,0.0167             ,0.0000             ,-2.0833            
267, 06/15/2018 01:48:04 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
268, 06/15/2018 01:48:05 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
269, 06/15/2018 01:48:06 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
270, 06/15/2018 01:48:07 PM,0.0000             ,0.0000             ,0.0000             ,-1.2500            
271, 06/15/2018 01:48:08 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
272, 06/15/2018 01:48:09 PM,0.0000             ,-0.0333            ,0.0000             ,-0.8333            
273, 06/15/2018 01:48:10 PM,0.0000             ,-0.0833            ,0.0000             ,-1.6667            
274, 06/15/2018 01:48:11 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
